"player","position","season","Team","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh_perc","F_Sh_perc","xFSH_perc","iHF","iHA","GIVE","TAKE","iPENT2","iPEND2","iPENT5","iPEND5","FOW","FOL","FO_diff"
"AARON.EKBLAD","D","20162017","FLA",68,178.68,4,1,3,8,61,72,108,4.07,6.56,5.56,5.65,2,5,4,1,0,0,0,0,0,0,0
"AARON.EKBLAD","D","20172018","FLA",82,165.05,5,2,3,10,29,44,72,3.12,17.24,11.36,7.09,3,12,8,2,2,1,0,0,0,0,0
"AARON.EKBLAD","D","20182019","FLA",82,137.07,5,2,3,10,37,42,55,3.3,13.51,11.9,7.86,3,4,8,0,0,0,0,0,0,0,0
"ADAM.GAUDETTE","F","20182019","VAN",56,76.48,0,1,1,2,9,16,18,1.34,0,0,8.38,0,5,1,0,0,0,0,0,12,13,-1
"ADAM.HENRIQUE","F","20162017","N.J",82,191.78,6,3,1,10,23,29,34,4.13,26.09,20.69,14.24,6,12,6,2,1,2,0,0,68,60,8
"ADAM.HENRIQUE","F","20172018","ANA",57,136.5,4,2,1,7,25,34,39,4.89,16,11.76,14.38,2,6,2,1,1,0,0,0,45,29,16
"ADAM.HENRIQUE","F","20172018","N.J",24,62.53,2,1,2,5,5,12,14,1.24,40,16.67,10.33,1,2,1,0,0,0,0,0,24,20,4
"ADAM.HENRIQUE","F","20182019","ANA",82,180.5,8,2,3,13,27,41,50,4.96,29.63,19.51,12.1,5,3,4,4,0,1,0,0,81,70,11
"ADAM.LOWRY","F","20162017","WPG",82,139.15,5,1,2,8,22,32,35,5.09,22.73,15.62,15.91,6,3,1,1,4,0,0,0,40,34,6
"ADRIAN.KEMPE","F","20172018","L.A",81,89.62,1,2,2,5,14,19,29,1.96,7.14,5.26,10.32,0,3,3,1,1,0,0,0,31,44,-13
"ADRIAN.KEMPE","F","20182019","L.A",81,108.15,0,2,2,4,9,17,22,1.45,0,0,8.53,5,4,4,0,3,1,0,0,19,27,-8
"ALAN.QUINE","F","20162017","NYI",61,66.82,2,0,1,3,7,9,10,1.26,28.57,22.22,14,0,2,0,0,0,0,0,0,15,12,3
"ALEC.MARTINEZ","D","20162017","L.A",82,174,2,7,7,16,41,67,96,3.35,4.88,2.99,5,2,5,2,1,1,0,0,0,0,0,0
"ALEC.MARTINEZ","D","20172018","L.A",77,148.07,2,5,3,10,22,31,50,1.7,9.09,6.45,5.48,4,10,5,0,1,0,0,0,0,0,0
"ALEC.MARTINEZ","D","20182019","L.A",60,72.2,0,2,0,2,12,17,28,0.97,0,0,5.71,0,1,2,0,0,0,0,0,0,0,0
"ALEKSANDER.BARKOV","F","20162017","FLA",61,165.12,3,3,6,12,32,43,50,4.23,9.38,6.98,9.84,3,7,2,1,2,0,0,0,63,67,-4
"ALEKSANDER.BARKOV","F","20172018","FLA",79,256,5,3,6,14,54,73,85,7.15,9.26,6.85,9.79,0,15,12,4,2,1,0,0,98,91,7
