"Player","Season","Team","Position","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","TOI% QoT","CF% QoT","xGF% QoT","CF/60 QoT","CA/60 QoT","xGF/60 QoT","xGA/60 QoT","TOI% QoC","CF% QoC","xGF% QoC","CF/60 QoC","CA/60 QoC","xGF/60 QoC","xGA/60 QoC"
"5EBASTIAN.AHO","2016-2019","NYI","D/D/R",22,324.64,9.62,90.21,7.01,92.78,4.9,94.02,2.11,-1.24,99.82,98.92,0.9,72,94,105,26.57,34.69,38.75,0.43,27.25,47.37,47.58,55.96,61.98,2.37,2.6,28.78,50.1,50.31,57.48,57.12,2.39,2.35
"AARON.EKBLAD","2016-2019","FLA","D",232,4071.5,8.01,91.21,5.95,93.63,5.3,94.24,0.65,-0.61,99.22,99.54,-0.32,1320,1450,1421,31.5,34.6,33.91,0.48,28.94,50.42,48.53,56.97,55.93,2.26,2.41,29.49,50.12,50.1,57.1,56.7,2.38,2.37
"AARON.NESS","2016-2019","WSH","D",10,119.82,11.54,92.96,8.57,95.1,5.73,95.24,2.84,-0.14,104.5,100.96,3.53,30,30,42,29.41,29.41,41.18,0.5,26.2,48.16,47.82,53.84,57.74,2.17,2.36,27.66,49.64,49.94,56.02,56.6,2.3,2.29
"ADAM.CLENDENING","2016-2019","CBJ/ARI/NYR","D",40,543.01,9.02,91.09,6.17,93.75,5.51,93.22,0.66,0.53,100.12,98.73,1.39,219,124,176,42.2,23.89,33.91,0.64,26.78,47.71,48.74,53.17,58.25,2.31,2.43,28.19,49.87,50.06,55.02,55.19,2.28,2.27
"ADAM.CRACKNELL","2016-2019","ANA/DAL/NYR","R",76,730.36,7.43,93.47,5.06,95.48,4.97,94.22,0.09,1.26,100.9,99.19,1.71,194,195,246,30.55,30.71,38.74,0.5,28.04,48.54,49.88,55.81,59.07,2.51,2.52,27.93,49.84,49.64,54.6,54.82,2.21,2.24
"ADAM.ERNE","2016-2019","T.B","L",114,1136.29,7.88,92.29,5.53,94.43,4.92,95.44,0.61,-1.01,100.18,100.36,-0.19,299,327,439,28.08,30.7,41.22,0.48,27.93,50.86,52.03,56.59,54.45,2.32,2.13,28,49.56,49.53,55.89,56.79,2.32,2.36
"ADAM.GAUDETTE","2016-2019","VAN","C",60,576.57,7.04,92.43,5.11,94.31,4.55,93.82,0.56,0.5,99.47,98.37,1.1,159,128,167,35.02,28.19,36.78,0.55,28.21,48.34,47.5,54.33,57.91,2.17,2.4,27.9,49.72,49.73,56.25,56.84,2.35,2.37
"ADAM.HENRIQUE","2016-2019","ANA/N.J","C",244,3042.4,8,93.43,5.53,95.42,5.61,94.58,-0.07,0.84,101.43,100.19,1.24,917,967,949,32.37,34.13,33.5,0.49,29.53,48.48,47.49,53.82,56.91,2.26,2.48,28.82,49.95,49.93,56.49,56.51,2.34,2.34
"ADAM.LARSSON","2016-2019","EDM","D",224,4123.47,7.61,91.49,5.54,93.76,6,93.94,-0.45,-0.17,99.1,99.93,-0.84,1230,1394,1512,29.74,33.7,36.56,0.47,28.7,49.1,48.93,55.74,57.6,2.47,2.56,29.15,50.02,49.88,56.55,56.39,2.33,2.34
"ADAM.LOWRY","2016-2019","WPG","L",205,2436.68,7.11,92.91,5.1,94.87,5.59,94.89,-0.49,-0.01,100.01,100.48,-0.46,612,887,964,24.85,36.01,39.14,0.41,28.68,47.46,47.27,52.61,58.27,2.17,2.44,28.69,49.95,49.8,56.38,56.39,2.32,2.33
