"Player","Season","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"5EBASTIAN.AHO","2016-2019","NYI","D/D/R",22,324.64,289,325,-36,47.07,53.41,60.07,214,263,-49,44.86,39.55,48.61,156,194,-38,44.57,28.83,35.86,15,19,-4,44.12,2.77,3.51,10.49,15.73,-5.24,40.01,1.94,2.91,14,18,4,2.59,3.33,9.62,90.21,7.01,92.78,4.9,94.02,2.11,-1.24,99.82,98.92,0.9
"AARON.EKBLAD","2016-2019","FLA","D",232,4071.5,3878,3955,-77,49.51,57.15,58.28,3010,3078,-68,49.44,44.36,45.36,2236,2231,5,50.06,32.95,32.88,179,196,-17,47.73,2.64,2.89,159.5,177.34,-17.84,47.35,2.35,2.61,242,282,40,3.57,4.16,8.01,91.21,5.95,93.63,5.3,94.24,0.65,-0.61,99.22,99.54,-0.32
"AARON.NESS","2016-2019","WSH","D",10,119.82,90,127,-37,41.47,45.07,63.6,70,102,-32,40.7,35.05,51.08,52,71,-19,42.28,26.04,35.55,6,5,1,54.55,3,2.5,4.01,4.86,-0.85,45.21,2.01,2.43,11,5,-6,5.51,2.5,11.54,92.96,8.57,95.1,5.73,95.24,2.84,-0.14,104.5,100.96,3.53
"ADAM.CLENDENING","2016-2019","CBJ/ARI/NYR","D",40,543.01,536,467,69,53.44,59.23,51.6,389,352,37,52.5,42.98,38.89,266,247,19,51.85,29.39,27.29,24,22,2,52.17,2.65,2.43,21.44,23.87,-2.43,47.32,2.37,2.64,36,32,-4,3.98,3.54,9.02,91.09,6.17,93.75,5.51,93.22,0.66,0.53,100.12,98.73,1.39
"ADAM.CRACKNELL","2016-2019","ANA/DAL/NYR","R",76,730.36,710,690,20,50.71,58.33,56.68,514,487,27,51.35,42.23,40.01,350,337,13,50.95,28.75,27.68,26,22,4,54.17,2.14,1.81,25.53,28.15,-2.62,47.56,2.1,2.31,50,65,15,4.11,5.34,7.43,93.47,5.06,95.48,4.97,94.22,0.09,1.26,100.9,99.19,1.71
"ADAM.ERNE","2016-2019","T.B","L",114,1136.29,979,985,-6,49.85,51.69,52.01,742,736,6,50.2,39.18,38.86,520,532,-12,49.43,27.46,28.09,41,41,0,50,2.16,2.16,36.51,33.53,2.98,52.13,1.93,1.77,91,97,6,4.81,5.12,7.88,92.29,5.53,94.43,4.92,95.44,0.61,-1.01,100.18,100.36,-0.19
"ADAM.GAUDETTE","2016-2019","VAN","C",60,576.57,502,566,-64,47,52.24,58.9,372,422,-50,46.85,38.71,43.91,270,317,-47,46,28.1,32.99,19,24,-5,44.19,1.98,2.5,16.92,26.09,-9.17,39.34,1.76,2.72,35,35,0,3.64,3.64,7.04,92.43,5.11,94.31,4.55,93.82,0.56,0.5,99.47,98.37,1.1
"ADAM.HENRIQUE","2016-2019","ANA/N.J","C",244,3042.4,2655,2979,-324,47.12,52.36,58.75,1988,2247,-259,46.94,39.21,44.31,1375,1568,-193,46.72,27.12,30.92,110,103,7,51.64,2.17,2.03,111.46,121.79,-10.33,47.79,2.2,2.4,199,169,-30,3.92,3.33,8,93.43,5.53,95.42,5.61,94.58,-0.07,0.84,101.43,100.19,1.24
"ADAM.LARSSON","2016-2019","EDM","D",224,4123.47,3864,3850,14,50.09,56.22,56.02,2923,2886,37,50.32,42.53,41.99,2129,2115,14,50.16,30.98,30.78,162,180,-18,47.37,2.36,2.62,175.27,174.96,0.31,50.04,2.55,2.55,239,199,-40,3.48,2.9,7.61,91.49,5.54,93.76,6,93.94,-0.45,-0.17,99.1,99.93,-0.84
"ADAM.LOWRY","2016-2019","WPG","L",205,2436.68,2243,2140,103,51.17,55.23,52.69,1667,1560,107,51.66,41.05,38.41,1196,1128,68,51.46,29.45,27.78,85,80,5,51.52,2.09,1.97,93.19,79.78,13.41,53.88,2.29,1.96,147,154,7,3.62,3.79,7.11,92.91,5.1,94.87,5.59,94.89,-0.49,-0.01,100.01,100.48,-0.46
"ADAM.MCQUAID","2016-2019","NYR/CBJ/BOS","D",164,2356.62,2188,2121,67,50.78,55.71,54,1613,1572,41,50.64,41.07,40.02,1156,1098,58,51.29,29.43,27.96,78,91,-13,46.15,1.99,2.32,84.61,86.12,-1.51,49.56,2.15,2.19,158,134,-24,4.02,3.41,6.75,91.71,4.84,94.21,5.25,94.52,-0.41,-0.31,98.46,99.77,-1.31
"ADAM.PELECH","2016-2019","NYI","D",199,3185.14,2848,3038,-190,48.39,53.65,57.23,2062,2231,-169,48.03,38.84,42.03,1518,1611,-93,48.51,28.6,30.35,130,113,17,53.5,2.45,2.13,124.14,124.39,-0.25,49.95,2.34,2.34,156,158,2,2.94,2.98,8.56,92.99,6.3,94.94,6.02,94.42,0.28,0.51,101.55,100.44,1.1
"ADRIAN.KEMPE","2016-2019","L.A","L",187,2178.26,2037,1973,64,50.8,56.11,54.35,1496,1499,-3,49.95,41.21,41.29,1030,1047,-17,49.59,28.37,28.84,74,67,7,52.48,2.04,1.85,77.93,84.36,-6.43,48.02,2.15,2.32,139,128,-11,3.83,3.53,7.18,93.6,4.95,95.53,5.21,94.37,-0.26,1.16,100.79,99.58,1.2
"A.J..GREER","2016-2019","COL","L",32,214.89,158,209,-51,43.05,44.12,58.36,123,158,-35,43.77,34.34,44.12,93,119,-26,43.87,25.97,33.23,6,6,0,50,1.68,1.68,6.53,8.92,-2.39,42.27,1.82,2.49,31,23,-8,8.66,6.42,6.45,94.96,4.88,96.2,5.31,94.35,-0.43,1.85,101.41,99.66,1.75
"AJ.GREER","2016-2019","COL","L",5,63.8,60,56,4,51.72,56.43,52.66,47,37,10,55.95,44.2,34.8,33,31,2,51.56,31.03,29.15,1,3,-2,25,0.94,2.82,3.06,1.35,1.71,69.39,2.88,1.27,1,4,3,0.94,3.76,3.03,90.32,2.13,91.89,6.51,96.35,-4.38,-4.46,93.35,102.86,-9.51
"ALAN.QUINE","2016-2019","CGY/NYI","C",95,1017.37,883,1103,-220,44.46,52.08,65.05,652,828,-176,44.05,38.45,48.83,491,598,-107,45.09,28.96,35.27,46,46,0,50,2.71,2.71,36.74,47.23,-10.49,43.75,2.17,2.79,54,47,-7,3.18,2.77,9.37,92.31,7.06,94.44,5.63,94.3,1.42,0.15,101.68,99.93,1.75
"ALEC.MARTINEZ","2016-2019","L.A","D",219,3729.99,3555,3596,-41,49.71,57.19,57.84,2632,2629,3,50.03,42.34,42.29,1800,1822,-22,49.7,28.95,29.31,138,150,-12,47.92,2.22,2.41,140.77,146,-5.23,49.09,2.26,2.35,240,207,-33,3.86,3.33,7.67,91.77,5.24,94.29,5.35,94.45,-0.11,-0.15,99.43,99.79,-0.36
"ALEKSANDER.BARKOV","2016-2019","FLA","C",222,3314.69,3179,3021,158,51.27,57.54,54.68,2486,2338,148,51.53,45,42.32,1874,1684,190,52.67,33.92,30.48,179,151,28,54.24,3.24,2.73,139.22,136.34,2.88,50.52,2.52,2.47,152,200,48,2.75,3.62,9.55,91.03,7.2,93.54,5.6,94.17,1.6,-0.63,100.59,99.77,0.82
