"Player","Season","Team","Position","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","iFOW","iFOL","iFO%","iPENT2","iPENT5","iPENT","iPEND2","iPEND5","iPEND","iPENT/60","iPEND/60","iGVA","iTKA","iGVA/60","iTKA/60","iHF","iHA","iH+/-","iHF/60","iHA/60"
"5EBASTIAN.AHO","2016-2019","NYI","D/D/R",22,324.64,72,105,94,26.57,34.69,38.75,0.43,0,1,0,2,0,2,4,0,4,0.37,0.74,11,3,2.03,0.55,10,23,-13,1.85,4.25
"AARON.EKBLAD","2016-2019","FLA","D",232,4071.5,1320,1421,1450,31.5,34.6,33.91,0.48,0,0,NA,52,1,53,30,1,31,0.78,0.46,223,88,3.29,1.3,237,231,6,3.49,3.4
"AARON.NESS","2016-2019","WSH","D",10,119.82,30,42,30,29.41,29.41,41.18,0.5,0,0,NA,4,0,4,0,0,0,2,0,3,1,1.5,0.5,3,16,-13,1.5,8.01
"ADAM.CLENDENING","2016-2019","CBJ/ARI/NYR","D",40,543.01,219,176,124,42.2,23.89,33.91,0.64,0,0,NA,7,1,8,4,1,5,0.88,0.55,21,8,2.32,0.88,23,76,-53,2.54,8.4
"ADAM.CRACKNELL","2016-2019","ANA/DAL/NYR","R",76,730.36,194,246,195,30.55,30.71,38.74,0.5,130,153,45.94,5,0,5,11,0,11,0.41,0.9,17,22,1.4,1.81,108,55,53,8.87,4.52
"ADAM.ERNE","2016-2019","T.B","L",114,1136.29,299,439,327,28.08,30.7,41.22,0.48,12,12,50,17,4,21,14,4,18,1.11,0.95,17,21,0.9,1.11,263,95,168,13.89,5.02
"ADAM.GAUDETTE","2016-2019","VAN","C",60,576.57,159,167,128,35.02,28.19,36.78,0.55,140,202,40.94,8,0,8,14,0,14,0.83,1.46,10,10,1.04,1.04,50,55,-5,5.2,5.72
"ADAM.HENRIQUE","2016-2019","ANA/N.J","C",244,3042.4,917,949,967,32.37,34.13,33.5,0.49,1200,1209,49.81,28,0,28,34,0,34,0.55,0.67,58,86,1.14,1.7,200,205,-5,3.94,4.04
"ADAM.LARSSON","2016-2019","EDM","D",224,4123.47,1230,1512,1394,29.74,33.7,36.56,0.47,0,0,NA,51,0,51,15,0,15,0.74,0.22,170,65,2.47,0.95,676,367,309,9.84,5.34
"ADAM.LOWRY","2016-2019","WPG","L",205,2436.68,612,964,887,24.85,36.01,39.14,0.41,1272,1004,55.89,20,4,24,29,4,33,0.59,0.81,40,76,0.98,1.87,525,260,265,12.93,6.4
"ADAM.MCQUAID","2016-2019","NYR/CBJ/BOS","D",164,2356.62,817,953,729,32.69,29.17,38.14,0.53,0,0,NA,37,11,48,20,12,32,1.22,0.81,49,22,1.25,0.56,326,226,100,8.3,5.75
"ADAM.PELECH","2016-2019","NYI","D",199,3185.14,816,1033,1015,28.49,35.44,36.07,0.45,0,0,NA,17,0,17,14,0,14,0.32,0.26,97,78,1.83,1.47,295,327,-32,5.56,6.16
"ADRIAN.KEMPE","2016-2019","L.A","L",187,2178.26,722,679,497,38.04,26.19,35.77,0.59,552,801,40.8,40,1,41,24,1,25,1.13,0.69,54,42,1.49,1.16,188,126,62,5.18,3.47
"A.J..GREER","2016-2019","COL","L",32,214.89,53,72,50,30.29,28.57,41.14,0.51,3,5,37.5,14,1,15,9,1,10,4.19,2.79,3,7,0.84,1.95,49,35,14,13.68,9.77
